SMLL - Carteira do Dia 26/09/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.453.863;2,497;
TTEN3;3TENTOS;ON      NM;112.343.586;0,438;
ABCB4;ABC BRASIL;PN      N2;67.449.065;0,468;
AERI3;AERIS;ON      NM;227.070.796;0,165;
AESB3;AES BRASIL;ON      NM;324.190.156;1,043;
ALSO3;ALIANSCSONAE;ON      NM;122.470.927;0,808;
AALR3;ALLIAR;ON      NM;42.288.232;0,298;
ALUP11;ALUPAR;UNT     N2;140.050.337;1,321;
AMBP3;AMBIPAR;ON      NM;43.853.759;0,411;
ANIM3;ANIMA;ON      NM;272.558.877;0,522;
ARZZ3;AREZZO CO;ON      NM;60.358.029;2,009;
ARML3;ARMAC;ON      NM;171.266.914;0,897;
AZUL4;AZUL;PN      N2;327.646.296;1,764;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,799;
BRSR6;BANRISUL;PNB     N1;202.535.840;0,791;
BMOB3;BEMOBI TECH;ON      NM;84.429.318;0,426;
BKBR3;BK BRASIL;ON      NM;270.582.179;0,607;
BLAU3;BLAU;ON      NM;29.837.192;0,328;
BOAS3;BOA VISTA;ON      NM;530.064.896;1,089;
BRML3;BR MALLS PAR;ON      NM;828.273.884;2,561;
BRPR3;BR PROPERT;ON      NM;175.439.087;0,485;
BRAP3;BRADESPAR;ON      N1;30.318.904;0,215;
BRAP4;BRADESPAR;PN      N1;251.025.058;1,905;
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,528;
CAML3;CAMIL;ON      NM;105.541.597;0,356;
CBAV3;CBA;ON      NM;191.350.000;0,683;
CEAB3;CEA MODAS;ON      NM;105.355.935;0,120;
CLSA3;CLEARSALE;ON      NM;51.649.101;0,094;
COGN3;COGNA ON;ON      NM;1.820.405.422;1,828;
CSMG3;COPASA;ON  EJ  NM;188.444.559;0,864;
CURY3;CURY S/A;ON      NM;102.456.054;0,393;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,622;
CYRE3;CYRELA REALT;ON      NM;274.142.301;1,533;
DESK3;DESKTOP;ON      NM;30.443.169;0,109;
DXCO3;DEXCO;ON      NM;274.863.424;0,947;
PNVL3;DIMED;ON      NM;71.295.172;0,296;
DIRR3;DIRECIONAL;ON      NM;81.741.469;0,430;
DMMO3;DOMMO;ON;244.629.753;0,143;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,620;
EMBR3;EMBRAER;ON      NM;734.632.205;3,102;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,382;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;1,946;
ENJU3;ENJOEI;ON      NM;151.599.011;0,069;
ESPA3;ESPACOLASER;ON      NM;233.968.096;0,150;
EVEN3;EVEN;ON      NM;198.428.847;0,451;
EZTC3;EZTEC;ON      NM;94.318.339;0,656;
FHER3;FER HERINGER;ON      NM;15.626.962;0,075;
FESA4;FERBASA;PN      N1;40.495.100;0,696;
FLRY3;FLEURY;ON      NM;303.383.609;1,849;
GFSA3;GAFISA;ON  EG  NM;35.918.300;0,135;
GOAU4;GERDAU MET;PN      N1;686.077.578;2,398;
GETT11;GETNET BR;UNT;90.675.851;0,140;
GOLL4;GOL;PN      N2;190.059.275;0,617;
GGPS3;GPS;ON      NM;391.345.218;1,775;
GRND3;GRENDENE;ON      NM;266.742.632;0,651;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;1,060;
SBFG3;GRUPO SBF;ON      NM;95.566.506;0,731;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;2,284;
GUAR3;GUARARAPES;ON      NM;81.934.660;0,261;
HBOR3;HELBOR;ON      NM;65.595.478;0,068;
HBSA3;HIDROVIAS;ON      NM;760.109.566;0,654;
IGTI11;IGUATEMI S.A;UNT     N1;179.981.368;1,226;
PARD3;IHPARDINI;ON      NM;41.610.660;0,319;
MEAL3;IMC S/A;ON      NM;263.096.332;0,184;
IFCM3;INFRACOMM;ON      NM;341.990.490;0,605;
INTB3;INTELBRAS;ON      NM;114.530.513;1,150;
MYPK3;IOCHP-MAXION;ON      NM;130.940.595;0,577;
RANI3;IRANI;ON      NM;98.611.765;0,263;
IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,917;
JALL3;JALLESMACHAD;ON      NM;96.450.967;0,231;
JHSF3;JHSF PART;ON      NM;299.019.330;0,759;
